"Table No.19 (b)
STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOW UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING APRIL 2022 TO JUNE 2022",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
775,IJ BEMUS PRIVATE LIMITED,HARYANA,Gurgaon,Other business support service activities n.e.c,Itaru Tanimura,Japan,6330,81.0763,Received in the company
776,CLINIKALLY DIGITAL HEALTH PRIVATE LIMITED,HARYANA,Gurgaon,Retail sale of perfumery and cosmetic articles,CLINIKALLY INC,U.S.A,5990,76.7215,Received in the company
777,HYPERCAP PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",HYPERCAP INC.,U.S.A,5909,75.684,Received in the company
778,KOGTA FINANCIAL (INDIA )LIMITED,RAJASTHAN,Ajmer,Other credit granting,NHPEA Rimo Holding B.V.,Netherland,5348.35,68.5031,Received in the company
779,KNOWCROSS SOLUTIONS PRIVATE LIMITED,DELHI,South Delhi,"Providing software support and maintenance to the
clients","UniFocus Holdco, Inc.",U.S.A,5173.11,67.9173,Received in the company
780,Eden Renewable Alesia Private Limited,DELHI,South Delhi,Electric power generation using solar energy,EDF EN INDIA,France,5000,65.6445,Received in the company
781,Eden Renewable Alesia Private Limited,DELHI,South Delhi,"Electric power
generation using solar energy",TOTAL EREN,France,5000,65.6445,"Received in
the company"
782,Eden Renewable Cadet Private Limited,DELHI,South Delhi,Electric power generation using solar energy,TOTAL EREN,France,5000,65.6445,Received in the company
783,Eden Renewable Cadet Private Limited,DELHI,South Delhi,Electric power generation using solar energy,EDF EN INDIA,France,5000,65.6445,Received in the company
784,Eden Renewable Odeon Private Limited,DELHI,South Delhi,Electric power generation using solar energy,TOTAL EREN,France,5000,65.6445,Received in the company
785,Eden Renewable Odeon Private Limited,DELHI,South Delhi,Electric power generation using,EDF EN INDIA,France,5000,65.6445,Received in the
,,,,solar energy,,,,,company
786,LOOP AGENCY DIGITAL INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other business support service activities n.e.c,Agentur LOOP New Media GmbH,Austria,5000,65.6445,Received in the company
787,SOLAI AND CAMERON IT SOLUTIONS INDIA PRIVATE LIMITED,TAMIL NADU,Chennai,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",Solai & Cameron Inc,U.S.A,4930.85,64.7367,Received in the company
788,AQFER INDIA PRIVATE LIMITED,TAMIL NADU,Chennai,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing","Aqfer, INC",U.S.A,5000,64.6669,Received in the Company
789,AQFER INDIA PRIVATE LIMITED,TAMIL NADU,Chennai,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing","Aqfer, INC",U.S.A,5000,64.6669,Received in the Company
790,Pepper Content Global Private Limited,MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities
n.e.c.",Pepper Content Inc.,U.S.A,5000,64.6669,Received in the Company
791,RIVER MOBILITY PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of
motor vehicles n.e.c.",M/s. World of River Limited Inc.,U.S.A,5000,64.6669,"Received in
the Company"
792,RIVER MOBILITY PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of motor vehicles n.e.c.,M/s. World of River Limited Inc.,U.S.A,5000,64.6669,Received in the Company
793,Pepper Content Global Private Limited,MAHARASHTRA,Mumbai,"Other professional, scientific and technical activities n.e.c.",Pepper Content Inc.,U.S.A,4999,64.654,Received in the Company
794,"SOLAI AND CAMERON
IT SOLUTIONS INDIA PRIVATE LIMITED",TAMIL NADU,Chennai,"Writing, modifying,
testing of computer program to meet",Solai & Cameron Inc,U.S.A,4886.01,64.148,"Received in
the company"
,,,,the needs of a particular client excluding web-page designing,,,,,
795,DADB INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,EDUCATIONAL SUPPORT SERVICES,"DADB BETEILIGUNGS UG, (HAFTUNGSBESCHRAENKT)",Germany,5000,64.0413,Received in the company
796,ETRAVELI INDIA PRIVATE LIMITED,MAHARASHTRA,Pune,Travel agency activities,GOTOGATE INTERNATIONAL AB,Sweden,5000,64.0413,Received in the company
797,GIIS Consulting Private Limited,MAHARASHTRA,Nagpur,Management consultancy activities,Global Indian Holdings Pte Ltd,Singapore,5000,64.0413,Received in the company
798,REWAIR COMPOSITES INDIA PRIVATE LIMITED,TAMIL NADU,Chennai,"Manufacture of engines and turbines, except aircraft, vehicle and
cycle engines","REWAIR HOLDING INDIA
A/S",Denmark,5000,64.0413,Received in the company
799,Roofoods Private Limited,Telangana,Hyderabad,"Other information technology and
computer service activities n.e.c",Deliveroo International Ltd,United Kingdom,4990,63.9132,Received in the company
800,ETRAVELI INDIA PRIVATE LIMITED,MAHARASHTRA,Pune,Travel agency activities,GOTOGATE INTERNATIONAL AB,Sweden,4500,59.0801,"Received in the
company"
801,KOGTA FINANCIAL (INDIA )LIMITED,RAJASTHAN,Ajmer,Other credit granting,Aditya (Mauritius) Ltd.,Mauritius,4584.3,58.7169,Received in the company
802,"TRENCH SHORING
RENTAL PRIVATE LIMITED",DELHI,South Delhi,"Other specialized
construction activities",TWF International GMBH,Austria,4150,53.6735,"Received in
the Company"
803,Xentegra Private Limited,MAHARASHTRA,Thane,Other information technology and computer service activities n.e.c,Aayeshazz Inc,Canada,3500,44.8289,Received in the company
804,GAMINGMONK ENTERTAINMENT PRIVATE LIMITED,DELHI,South Delhi,Other amusement and recreation activities n.e.c.,M League Pte Ltd,Singapore,3489.66,44.6965,Received in the company
805,AXELON STAFFINGSERVICES PRIVATE LIMITED,TELANGANA,Hyderabad,"Human resources provision and management of
human resources",AXELON CANADA INC,U.S.A,3000,39.3867,Received in the company
,,,,functions,,,,,
806,FAIRFIELD ATLAS LIMITED,MAHARASHTRA,Kolhapur,"Manufacture of bearings, gears, gearing and driving elements",TH Licensing Inc.,U.S.A,2732,34.9922,Received in the company
807,FAIRFIELD ATLAS LIMITED,MAHARASHTRA,Kolhapur,"Manufacture of bearings, gears, gearing and driving elements",TH Licensing Inc.,U.S.A,2732,34.9922,Received in the company
808,RIGHTDATA LABS PRIVATE LIMITED,TELANGANA,Hyderabad,Publishing of operating business and other applications,Rightdata Inc.,U.S.A,2500,32.3335,Received in the Company
809,INR ENERGY VENTURES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Electric power
generation using solar energy",BREP Asia II Indian Holding Co III (NQ) Pte. Ltd.,Singapore,2400,30.7398,"Received in
the company"
810,MOOVE VEHICLE INDIA PRIVATE LIMITED,DELHI,South West Delhi,"Wholesale and retail sale of new vehicles (passenger motor vehicles, ambulances, minibuses, jeeps, trucks, trailers and
semi-trailers)",Moove Africa BV,Netherland,1990,25.4884,Received in the company
811,MVIN Carco 1 Private Limited,DELHI,South West Delhi,Taxi operation,Moove Africa B.V.,Netherland,1990,25.4884,Received in the company
812,KNOWCROSS SOLUTIONS PRIVATE LIMITED,DELHI,South Delhi,"Providing software support and maintenance to the
clients","UniFocus Holdco, Inc.",U.S.A,1714.3,22.5069,Received in the company
813,HARITA-NTI LIMITED,TAMIL NADU,Tiruvallur,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles
etc.)",Multiple buyers,U.S.A,1588.37,20.8536,Received in the company
814,ReNew Power Private Limited,DELHI,South West Delhi,"Electric power
generation using other non",RENEW ENERGY GLOBAL PLC,United Kingdom,1233.88,16.1995,"Received in
the company"
,,,,conventional sources,,,,,
815,Megawide Infrastructure India Private Limited,GOA,North Goa,Other specialized construction activities,MEGAWIDE INFRASTRUCTURE DMCC,UAE,1000,13.1289,Received in the company
816,Philmor Global Business Services (India) Private Limited,KARNATAKA,Bengaluru,Combined office administrative service activities,Philip Morris Products SA,Switzerland,1000,13.1289,Received in the company
817,"PURELEARN EDUSERVE
HYDERABAD PRIVATE LIMITED",TELANGANA,Hyderabad,"Management
consultancy activities",Precise Credit Solutions 3 Sarl,Luxembourg,1000,13.1289,"Received in
the company"
818,Sumologic Technologies Private Limited,DELHI,Central Delhi,"Other information technology and computer service
activities n.e.c",Sumo Logic Canada Ltd,Canada,1013,12.9748,Received in the company
819,AGORO CARBON ALLIANCE INDIA PRIVATE LIMITED,MAHARASHTRA,Pune,"Other professional, scientific and
technical activities n.e.c.",FERTILZER HOLDINGS AS,Norway,1000,12.9334,Received in the Company
820,EKINOPS NETWORKS INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Providing software support and maintenance to the
clients",Ekinops Belgium,Belgium,1000,12.8083,Received in the company
821,EPPINGER TECHNOLOGY ASIA PRIVATE LIMITED,TAMIL NADU,Coimbatore,Manufacture of parts and accessories for the machine tools listed above,Eppinger-Lejosne Caroline Marcelle Marie,Germany,1000,12.8083,Received in the company
822,CATENSYS INDIA PRIVATE LIMITED,MAHARASHTRA,Pune,"Manufacture of electric power distribution transformers, arc- welding transformers, fluorescent ballasts, transmission and distribution voltage regulators",CATENSYS GERMANY GMBH,Germany,990,12.6802,Received in the company
823,"DRW INDIA TECHNOLOGY
SERVICES PRIVATE LIMITED",KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",DRW Singapore Pte Limited,Singapore,755,9.6702,Received in the company
824,"EUCARE PHARMACEUTICALS
Private LimiTeD",TAMIL NADU,Kanchipuram,Manufacture of other medical and dental instruments n.e.c.,Laboratoires Urgo,France,677.42,8.8938,Received in the company
825,WITZENMANN INDIA PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Manufacture of parts and accessories of bodies for motor vehicles such as safety belts, airbags,doors,
bumpers",M/s. Witzenmann GmbH,Germany,673.6,8.6276,Received in the company
826,FAIRFIELD ATLAS LIMITED,MAHARASHTRA,Kolhapur,"Manufacture of bearings, gears, gearing and driving
elements",TH Licensing Inc.,U.S.A,546.4,6.9984,Received in the company
827,FRUITS VALLEY DESTINATIONS PRIVATE LIMITED,KERALA,Idukki,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in
house boats",Rony Jose,South Africa,500,6.5645,Received in the company
828,FRUITS VALLEY DESTINATIONS PRIVATE LIMITED,KERALA,Idukki,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in
house boats",Antony George,Australia,500,6.5645,Received in the company
829,FRUITS VALLEY DESTINATIONS PRIVATE LIMITED,KERALA,Idukki,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats",Roby Jose,South Africa,500,6.4667,Received in the Company
830,FRUITS VALLEY DESTINATIONS PRIVATE LIMITED,KERALA,Idukki,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes
accommodation in",Joy Varghese,U.S.A,500,6.4667,Received in the Company
,,,,house boats,,,,,
831,FRUITS VALLEY DESTINATIONS PRIVATE LIMITED,KERALA,Idukki,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in
house boats",Shaji Jacob,Nigeria,500,6.4041,Received in the company
832,FRUITS VALLEY DESTINATIONS PRIVATE LIMITED,KERALA,Idukki,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in
house boats",Varghese Thambi,Uganda,500,6.4041,Received in the company
833,FRUITS VALLEY DESTINATIONS PRIVATE LIMITED,KERALA,Idukki,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes
accommodation in house boats",Jhancy Tomy,New Zealand,500,6.4041,Received in the company
834,FRUITS VALLEY DESTINATIONS PRIVATE LIMITED,KERALA,Idukki,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in
house boats",Vincent Jose Palathingal,Nigeria,500,6.4041,Received in the company
835,Cella Warehousing Private Limited,DELHI,South West Delhi,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in foreign
trade zones",Cella Holdings PTE LTD,Singapore,490,6.3374,Received in the Company
836,SAILFIN TECHNOLOGIES PRIVATE LIMITED,GUJARAT,Surat,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",SAILFIN TECHNOLOGIES INC.,U.S.A,459.88,6.0377,Received in the company
837,HYPERCAP PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",HYPERCAP INC.,U.S.A,298.56,3.824,Received in the company
838,FAIRFIELD ATLAS LIMITED,MAHARASHTRA,Kolhapur,"Manufacture of bearings, gears, gearing and driving elements",TH Licensing Inc.,U.S.A,273.2,3.5334,Received in the Company
839,FAIRFIELD ATLAS LIMITED,MAHARASHTRA,Kolhapur,"Manufacture of bearings, gears, gearing and driving elements",TH Licensing Inc.,U.S.A,273.2,3.4992,Received in the company
840,HUNTSMAN INTERNATIONAL (INDIA) PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Manufacture of other pharmaceutical and botanical products
n.e.c. like hina
powder etc.",Huntsman Investments (Netherlands) BV,Netherland,240,3.1509,Received in the company
841,O(1) INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other information technology and computer service
activities n.e.c",Glance InMobi Pte. Ltd.,Singapore,220.32,2.8219,Received in the company
842,ESSENTIALLY NOTHING PRIVATE LIMITED,HARYANA,Gurgaon,Wholesale of other electronic equipments and parts thereof,Nothing Technology Pte. Ltd,Singapore,150,1.9693,Brownfield
843,CMS ENGINEERING SERVICES PVT LTD,MAHARASHTRA,Mumbai,"Wholesale of computers and computer peripheral
equipment",CMS Technologies FZCO,UAE,150,1.9212,Received in the company
844,BLEND LABS INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",BLEND OPERATIONS INC,U.S.A,100,1.3129,Received in the company
845,HILDENE INDIA PRIVATE LIMITED,HARYANA,Gurgaon,Other business support service activities n.e.c,"HILDENE CAPITAL MANAGEMENT, LLC",U.S.A,100,1.2933,Received in the Company
846,MSE POINTOUT INDIA PRIVATE LIMITED,DELHI,Central Delhi,"Providing software support and
maintenance to the clients",PointOut GmbH,Germany,100,1.2933,Received in the Company
847,ALFELDER KUNSTSTOFFWERKE PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other non- specialised wholesale trade
n.e.c.",Nishan Goenka,Germany,100,1.2808,Received in the company
848,STANVERSE TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Getstan Technologies Pte. Ltd.,Singapore,100,1.2808,Received in the company
849,TARTLER INDIA PRIVATE LIMITED,DELHI,Central Delhi,"Wholesale of electrical machinery, equipment and
supplies, n.e.c.",Tartler GmbH,Germany,100,1.2808,Received in the company
850,ALSINA FORMWORK INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Wholesale of construction and civil engineering machinery and equipment,SERVICIO DE ENCOFRADOS ALISAN S.A.,Spain,84.05,1.1035,Received in the company
851,CEMECON COATING PRIVATE LIMITED,MAHARASHTRA,Pune,"Other non- specialised
wholesale trade n.e.c.",CEMECON AG.,Germany,82.29,1.0643,Received in the Company
852,CEMECON COATING PRIVATE LIMITED,MAHARASHTRA,Pune,Other non- specialised wholesale trade n.e.c.,DR. ING. LEYENDECKER BETEILIGUNGS GMBH,Germany,80.95,1.047,Received in the Company
853,DXR ADVENTURES PRIVATE LIMITED,TAMIL NADU,Chennai,Real estate activities with own or leased property,DXR ADVENTURES II LLC,U.S.A,75.49,0.9911,Received in the company
854,GEMU VALVES INDIA PRIVATE LIMITED,GUJARAT,Ahmedabad,Other business support service activities n.e.c,GEMU Holding GmbH & Co. KG,Germany,10,0.1313,Received in the company
855,Wavicle Data Solutions India Private Limited,TAMIL NADU,Coimbatore,"Other information
technology and computer service",Niyaz O Kamookagath,U.S.A,10,0.1313,"Received in
the company"
,,,,activities n.e.c,,,,,
856,Zippolighters India Private Limited,KARNATAKA,Bengaluru,Manufacture of other articles n.e.c.,Zippo Manufacturing Company,U.S.A,10,0.1313,Received in the company
857,Droom Tech Insurance Broking Private Limited,DELHI,South Delhi,Activities of insurance agents and brokers,DROOM PTE. LTD.,Singapore,10,0.1293,Received in the Company
858,LUMINA CLOUDINFRA PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other data processing, hosting and related activities n.e.c.","Lumina CloudInfra SG Pte Ltd (held by Lumina CloudInfra SG HoldCo Pte Ltd as nominee
shareholder)",Singapore,10,0.1293,Received in the Company
859,Prym Shared Services India Private Limited,TELANGANA,Hyderabad,"Other information technology and
computer service activities n.e.c",Prym Anteilsverwaltung GmbH,Germany,10,0.1293,Received in the Company
860,TQS INTEGRATION PRIVATE LIMITED,TELANGANA,Hyderabad,"Other information technology and computer service
activities n.e.c",TQS Integration UK Limited,United Kingdom,10,0.1293,Received in the Company
,,,,,,Total,"2,94,73,94,13,513.2100",3804844508.8035,
"    Total FDI inflow includes equity inflow, equity capital of unincorporated bodies, re-invested earnings, and other capital. Sector/State/Country-wise details are maintained only for equity component of FDI inflow.",,,,,,,,,
